,NameLink,Country,Genre,Status,DateScraped
0,<a href='https://www.metal-archives.com/bands/%21T.O.O.H.%21/16265'>!T.O.O.H.!</a>,Czechia,Progressive Death Metal/Grindcore,"<span class=""active"">Active</span>",25042019
1,<a href='https://www.metal-archives.com/bands/%21%C3%BAl../109481'>!úl..</a>,Czechia,Death/Black Metal,"<span class=""split_up"">Split-up</span>",25042019
2,<a href='https://www.metal-archives.com/bands/%24Greed%24/3540423227'>$Greed$</a>,United States,Heavy/Thrash Metal,"<span class=""on_hold"">On hold</span>",25042019
3,<a href='https://www.metal-archives.com/bands/%24ilverdollar/60323'>$ilverdollar</a>,Sweden,Heavy/Power Metal,"<span class=""active"">Active</span>",25042019
4,<a href='https://www.metal-archives.com/bands/%24lamboy%24/3540445218'>$lamboy$</a>,United States,"Death Metal/Grindcore (early), Slam/Brutal Death Metal (later)","<span class=""active"">Active</span>",25042019
5,<a href='https://www.metal-archives.com/bands/%24lutrot/3540438154'>$lutrot</a>,United States,Slam/Brutal Death Metal,"<span class=""split_up"">Split-up</span>",25042019
6,<a href='https://www.metal-archives.com/bands/%24uicide_%24olution/35843'>$uicide $olution</a>,Singapore,Heavy Metal,"<span class=""active"">Active</span>",25042019
7,<a href='https://www.metal-archives.com/bands/%27._._._%5Bl%5Dight_am_I%27_._._./67530'>'. . . [l]ight am I' . . .</a>,Canada,Black Metal,"<span class=""unknown"">Unknown</span>",25042019
8,<a href='https://www.metal-archives.com/bands/%27Ain/3540451613'>'Ain</a>,Mexico,Symphonic Metal,"<span class=""active"">Active</span>",25042019
9,<a href='https://www.metal-archives.com/bands/%27Big_Jim%27_Shively/3540352410'>'Big Jim' Shively</a>,United States,Doom Metal/Psychedelic Rock,"<span class=""active"">Active</span>",25042019
10,<a href='https://www.metal-archives.com/bands/%27Neath/70489'>'Neath</a>,Australia,Progressive Death Metal,"<span class=""split_up"">Split-up</span>",25042019
11,<a href='https://www.metal-archives.com/bands/%28%27M%27%29_Inc./3540373050'>('M') Inc.</a>,United States,Death Metal,"<span class=""unknown"">Unknown</span>",25042019
12,<a href='https://www.metal-archives.com/bands/%28%28%28...%29%29%29/3540352418'>(((...)))</a>,Indonesia,Drone/Doom Metal,"<span class=""active"">Active</span>",25042019
13,<a href='https://www.metal-archives.com/bands/%28%28Auman%29%29/3540349047'>((Auman))</a>,Indonesia,Heavy/Stoner Metal/Hard Rock,"<span class=""split_up"">Split-up</span>",25042019
14,<a href='https://www.metal-archives.com/bands/%28%28Thorlock%29%29/3540288214'>((Thorlock))</a>,United States,Sludge/Stoner Metal,"<span class=""active"">Active</span>",25042019
15,<a href='https://www.metal-archives.com/bands/%280%29/3540429542'>(0)</a>,Denmark,Experimental Metal,"<span class=""active"">Active</span>",25042019
16,<a href='https://www.metal-archives.com/bands/%28Cyber%5D.ocalypse%29_.._._../3540453682'>(Cyber].ocalypse) .. . ..</a>,Russia,Doom Metal/Rock,"<span class=""active"">Active</span>",25042019
17,<a href='https://www.metal-archives.com/bands/%28Deadly%29_Silence/3540266881'>(Deadly) Silence</a>,Germany,Thrash/Groove Metal,"<span class=""active"">Active</span>",25042019
18,<a href='https://www.metal-archives.com/bands/%28drama%29/108171'>(drama)</a>,Croatia,Sludge/Doom Metal,"<span class=""active"">Active</span>",25042019
19,<a href='https://www.metal-archives.com/bands/%28Echo%29/3540268831'>(Echo)</a>,Italy,Melodic Death/Doom Metal,"<span class=""active"">Active</span>",25042019
20,<a href='https://www.metal-archives.com/bands/%28god-rot%29/100527'>(god-rot)</a>,United States,Progressive Death Metal/Grindcore,"<span class=""unknown"">Unknown</span>",25042019
21,<a href='https://www.metal-archives.com/bands/%28Jhator%29/3540350094'>(Jhator)</a>,Sweden,Death 'n' Roll,"<span class=""active"">Active</span>",25042019
22,<a href='https://www.metal-archives.com/bands/%28Lone%29_Wolf_%26_Cub/3540455560'>(Lone) Wolf & Cub</a>,United States,Progressive Metalcore,"<span class=""split_up"">Split-up</span>",25042019
23,<a href='https://www.metal-archives.com/bands/%28Psychoparalysis%29/3540306619'>(Psychoparalysis)</a>,Finland,Progressive Death Metal,"<span class=""active"">Active</span>",25042019
24,<a href='https://www.metal-archives.com/bands/%28Rabbit%29/3540418351'>(Rabbit)</a>,United States,Drone/Doom Metal,"<span class=""active"">Active</span>",25042019
25,<a href='https://www.metal-archives.com/bands/%28sic%29/3540292626'>(sic)</a>,United States,Death Metal,"<span class=""split_up"">Split-up</span>",25042019
26,<a href='https://www.metal-archives.com/bands/%28Sworn%29/3540323338'>(Sworn)</a>,France,Progressive Metal,"<span class=""split_up"">Split-up</span>",25042019
27,<a href='https://www.metal-archives.com/bands/%28V.E.G.A.%29/20535'>(V.E.G.A.)</a>,International,Industrial Black Metal/Ambient,"<span class=""unknown"">Unknown</span>",25042019
28,<a href='https://www.metal-archives.com/bands/%28waning%29/3540349778'>(waning)</a>,United States,"Dark Ambient (early), Doom/Post-Metal (later)","<span class=""split_up"">Split-up</span>",25042019
29,<a href='https://www.metal-archives.com/bands/%29October%28/3540410502'>)October(</a>,Spain,Black Metal,"<span class=""active"">Active</span>",25042019
30,<a href='https://www.metal-archives.com/bands/%2B3_Broadsword/3540257015'>+3 Broadsword</a>,Australia,Black Metal,"<span class=""active"">Active</span>",25042019
31,<a href='https://www.metal-archives.com/bands/-_-_-/3540353044'>- - -</a>,Sweden,Atmospheric Black Metal,"<span class=""unknown"">Unknown</span>",25042019
32,<a href='https://www.metal-archives.com/bands/.../3540257897'>...</a>,International,"Depressive Black Metal (early), Post-Black Metal (later)","<span class=""active"">Active</span>",25042019
33,<a href='https://www.metal-archives.com/bands/...Aaaarrghh.../33438'>...Aaaarrghh...</a>,Turkey,Black Metal,"<span class=""unknown"">Unknown</span>",25042019
34,<a href='https://www.metal-archives.com/bands/...and_Darkness_Follows/3540439329'>...and Darkness Follows</a>,United Kingdom,Atmospheric Black Metal,"<span class=""changed_name"">Changed name</span>",25042019
35,<a href='https://www.metal-archives.com/bands/...and_Here_I_Lie/19272'>...and Here I Lie</a>,United States,Death/Doom Metal,"<span class=""split_up"">Split-up</span>",25042019
36,<a href='https://www.metal-archives.com/bands/...and_Oceans/231'>...and Oceans</a>,Finland,"Symphonic Black Metal (early), Industrial/Electronic Metal (later)","<span class=""active"">Active</span>",25042019
37,<a href='https://www.metal-archives.com/bands/...and_They_Will_Meet_God/24544'>...and They Will Meet God</a>,United States,Melodic Death Metal/Crossover,"<span class=""split_up"">Split-up</span>",25042019
