,BandID,BandName,BandLink,BandStatus,Country,Genre,Scraped
0,3540357673,The Zen,https://www.metal-archives.com/bands/The_Zen/3540357673,Unknown,Spain,Melodic Death Metal,31/08/2019 14:10:46
1,3540346785,The Zenith Passage,https://www.metal-archives.com/bands/The_Zenith_Passage/3540346785,Active,United States,Technical Death Metal,31/08/2019 14:10:46
2,20525,The Zephyr,https://www.metal-archives.com/bands/The_Zephyr/20525,Active,Mexico,Melodic Death/Black Metal,31/08/2019 14:10:46
3,70025,The Zeronaut,https://www.metal-archives.com/bands/The_Zeronaut/70025,Active,Spain,Melodic Death Metal,31/08/2019 14:10:46
4,31537,The Ziggurat,https://www.metal-archives.com/bands/The_Ziggurat/31537,Unknown,United States,Death/Heavy/Thrash Metal,31/08/2019 14:10:46
5,25915,The Zimmermann Note,https://www.metal-archives.com/bands/The_Zimmermann_Note/25915,Unknown,United States,Death Metal,31/08/2019 14:10:46
6,96263,The Zombi,https://www.metal-archives.com/bands/The_Zombi/96263,Split-up,Finland,Death Metal,31/08/2019 14:10:46
7,3540337709,The Zone of Noise,https://www.metal-archives.com/bands/The_Zone_of_Noise/3540337709,Split-up,Poland,Grindcore/Death Metal/Noise,31/08/2019 14:10:46
8,3325,Z,https://www.metal-archives.com/bands/Z/3325,Split-up,United States,Heavy Metal,31/08/2019 14:10:46
9,33459,Z,https://www.metal-archives.com/bands/Z/33459,Active,United States,Progressive Death Metal,31/08/2019 14:10:46
10,68716,Z,https://www.metal-archives.com/bands/Z/68716,Active,Mexico,Heavy Metal,31/08/2019 14:10:46
11,51825,Z'Kazan,https://www.metal-archives.com/bands/Z%27Kazan/51825,Split-up,United States,Thrash Metal,31/08/2019 14:10:46
12,3540394969,Z-Axis,https://www.metal-archives.com/bands/Z-Axis/3540394969,Unknown,United States,Heavy Metal,31/08/2019 14:10:46
13,3540321854,Z-Bek,https://www.metal-archives.com/bands/Z-Bek/3540321854,Active,Uzbekistan,Heavy Metal,31/08/2019 14:10:46
14,3540451113,Z-End,https://www.metal-archives.com/bands/Z-End/3540451113,Active,Japan,Power/Melodic Death Metal,31/08/2019 14:10:46
15,27610,Z-Gen,https://www.metal-archives.com/bands/Z-Gen/27610,Split-up,France,Black/Doom Metal,31/08/2019 14:10:46
16,33151,Z-Iron,https://www.metal-archives.com/bands/Z-Iron/33151,Split-up,Germany,Heavy Metal,31/08/2019 14:10:46
17,4923,Z-LOT-Z,https://www.metal-archives.com/bands/Z-LOT-Z/4923,Changed name,United States,Heavy Metal,31/08/2019 14:10:46
18,62471,Z-Sect,https://www.metal-archives.com/bands/Z-Sect/62471,Split-up,Japan,Thrash Metal,31/08/2019 14:10:46
19,3540295319,Z.A.A.R.,https://www.metal-archives.com/bands/Z.A.A.R./3540295319,Split-up,Venezuela,Heavy Metal,31/08/2019 14:10:46
20,100863,z3r0c00l,https://www.metal-archives.com/bands/z3r0c00l/100863,Active,United States,Industrial Death Metal,31/08/2019 14:10:46
21,3540256429,Z:Blaze,https://www.metal-archives.com/bands/Z%3ABlaze/3540256429,Active,Japan,Heavy Metal/Hard Rock,31/08/2019 14:10:46
22,3540369238,Zā Lä Thü,https://www.metal-archives.com/bands/Z%C4%81_L%C3%A4_Th%C3%BC/3540369238,Active,United States,Industrial/Death Metal,31/08/2019 14:10:46
23,3540298648,Za Piratz,https://www.metal-archives.com/bands/Za_Piratz/3540298648,Active,France,Death/Thrash Metal,31/08/2019 14:10:46
24,3540441914,Zaas,https://www.metal-archives.com/bands/Zaas/3540441914,Split-up,Spain,Heavy Metal/Hard Rock,31/08/2019 14:10:46
25,3540388772,Zabaniah,https://www.metal-archives.com/bands/Zabaniah/3540388772,Active,Indonesia,Black Metal,31/08/2019 14:10:46
26,3540294479,Zabaniyah,https://www.metal-archives.com/bands/Zabaniyah/3540294479,Active,Indonesia,Black Metal,31/08/2019 14:10:46
27,32097,Zabiis,https://www.metal-archives.com/bands/Zabiis/32097,Split-up,United Kingdom,Epic/Atmospheric Doom/Black Metal,31/08/2019 14:10:46
28,3540386465,Zabulon,https://www.metal-archives.com/bands/Zabulon/3540386465,Unknown,Colombia,Black Metal,31/08/2019 14:10:46
29,41272,Zabulos,https://www.metal-archives.com/bands/Zabulos/41272,Split-up,Italy,Black Metal,31/08/2019 14:10:46
30,3540315922,Zabulus,https://www.metal-archives.com/bands/Zabulus/3540315922,Split-up,Mexico,Black Metal,31/08/2019 14:10:46
31,3540419968,Zabulus,https://www.metal-archives.com/bands/Zabulus/3540419968,Active,Colombia,Black Metal,31/08/2019 14:10:46
32,23319,Zaburon,https://www.metal-archives.com/bands/Zaburon/23319,Active,Italy,Brutal Death Metal,31/08/2019 14:10:46
33,3540419276,Zac Leaser,https://www.metal-archives.com/bands/Zac_Leaser/3540419276,Active,United States,Technical/Melodic Death Metal,31/08/2019 14:10:46
34,3540398717,Zacai,https://www.metal-archives.com/bands/Zacai/3540398717,Split-up,Brazil,Black Metal,31/08/2019 14:10:46
35,3540260086,Zack Uidl,https://www.metal-archives.com/bands/Zack_Uidl/3540260086,Active,United States,"Progressive Metal, Shred",31/08/2019 14:10:46
36,3540453605,Zad,https://www.metal-archives.com/bands/Zad/3540453605,Active,Israel,Doom/Black Metal,31/08/2019 14:10:46
37,89107,Zadan,https://www.metal-archives.com/bands/Zadan/89107,Active,United States,Black/Doom Metal,31/08/2019 14:10:46
38,88104,Zadar,https://www.metal-archives.com/bands/Zadar/88104,Split-up,Italy,Heavy Metal,31/08/2019 14:10:46
39,3540354608,Zadex,https://www.metal-archives.com/bands/Zadex/3540354608,Split-up,United States,Power Metal,31/08/2019 14:10:46
40,3540362020,Zadistik Zeekness,https://www.metal-archives.com/bands/Zadistik_Zeekness/3540362020,Active,Mexico,Thrash Metal,31/08/2019 14:10:46
41,18020,Zadkiel,https://www.metal-archives.com/bands/Zadkiel/18020,Split-up,Japan,Black/Speed Metal,31/08/2019 14:10:46
42,3540430504,Zadkiel,https://www.metal-archives.com/bands/Zadkiel/3540430504,Split-up,Mexico,Black Metal,31/08/2019 14:10:46
43,40717,Zadögoat,https://www.metal-archives.com/bands/Zad%C3%B6goat/40717,Split-up,Germany,Black Metal,31/08/2019 14:10:46
44,84401,Zadok,https://www.metal-archives.com/bands/Zadok/84401,Split-up,Germany,Thrash Metal,31/08/2019 14:10:46
45,127839,Zadok,https://www.metal-archives.com/bands/Zadok/127839,Active,Germany,Gothic Metal,31/08/2019 14:10:46
46,3540305817,Zadok,https://www.metal-archives.com/bands/Zadok/3540305817,Split-up,Germany,Heavy Metal,31/08/2019 14:10:46
47,3540300972,Zadox,https://www.metal-archives.com/bands/Zadox/3540300972,Split-up,United States,Heavy/Power Metal,31/08/2019 14:10:46
